display,manufacturer,year,peak_nm,fwhm_nm,sharpness,confidence,vote_ratio
DELL U3425WE,"Dell, Inc.",2025,633.0,23.93,9.51,1.0,7/7
PHL 27E2F7901,Philips Consumer Electronics Company,2025,633.0,22.29,11.32,1.0,12/12
BenQ EX321UX,BenQ Corporation,2025,630.0,25.01,25.99,1.0,8/8
2642,BOE,2025,630.0,31.3,9.17,1.0,1/1
NE160QDM-NZL,BOE,2025,630.0,23.78,10.47,1.0,1/1
Lenovo Thinkbook Plus Gen 2 ITG,Lenovo,2025,633.0,22.37,11.74,1.0,1/1
M27UP,"GIGA-BYTE TECHNOLOGY CO., LTD.",2025,630.0,22.91,11.48,1.0,3/3
Built-in Retina Display,Apple Computer Inc,2025,633.0,21.61,16.19,1.0,16/16
VX27G58-2K-2,ViewSonic Corporation,2025,630.0,21.17,10.26,1.0,1/1
EIZO CG319X,EIZO GmbH Display Technologies,2025,630.0,22.92,13.89,1.0,1/1
Q25G4S,AOC,2025,630.0,22.55,12.34,1.0,1/1
VX27G58-2K,ViewSonic Corporation,2025,630.0,27.55,10.49,1.0,1/1
1812,LG Display,2025,630.0,27.1,9.8,1.0,1/1
LG ULTRAGEAR,LG Electronics,2025,630.0,21.16,15.47,1.0,40/59
Fire TV,Technical Concepts Ltd,2025,630.0,27.94,10.28,1.0,3/3
Generic Non-PnP Monitor,Logitech Inc,2025,630.0,23.88,29.66,1.0,1/1
SSN-24,"Huawei Technologies Co., Inc.",2025,633.0,21.97,12.2,1.0,3/3
M27Q2,"GIGA-BYTE TECHNOLOGY CO., LTD.",2025,630.0,25.13,22.28,1.0,5/5
U27U2G6R4B,AOC,2025,633.0,22.2,9.95,1.0,1/1
H25T7-3,K-Tech,2025,633.0,22.84,13.56,1.0,1/1
NE160QDM-NY1,BOE,2025,630.0,23.07,11.26,1.0,5/5
DELL U2720QM,"Dell, Inc.",2025,630.0,22.14,12.55,1.0,5/5
1899,LG Display,2025,633.0,30.61,9.53,1.0,1/1
PA278CV,ASUSTek COMPUTER INC,2025,630.0,22.99,10.78,1.0,1/1
XG27UCG,ASUSTek COMPUTER INC,2025,630.0,22.32,12.4,1.0,1/1
B156ZAN04.2,Lenovo Group Limited,2025,633.0,22.47,13.19,1.0,2/2
N156HGA-EAL,Chimei Innolux Corporation,2025,633.0,22.41,12.78,1.0,3/3
AW2724DM,"Dell, Inc.",2025,630.0,21.72,13.53,1.0,1/1
7X71H-B156ZAN,AU Optronics,2025,633.0,22.59,12.43,1.0,2/2
PA278QV,ASUSTek COMPUTER INC,2025,633.0,25.25,10.63,1.0,12/12
Mi Monitor,Xiaomi Inc.,2025,627.0,26.16,19.74,1.0,4/7
LU28R55,Samsung Electric Company,2025,633.0,22.31,13.52,1.0,15/15
MSI MD271UL,Microstep,2025,633.0,24.39,12.45,1.0,1/1
MAG 274 X30MV,Microstep,2025,630.0,23.99,27.69,1.0,5/5
MAG 274QRFW,Microstep,2025,633.0,30.19,9.76,1.0,2/2
PA348CGV,ASUSTek COMPUTER INC,2025,630.0,23.93,11.12,1.0,3/3
PA278CFRV,ASUSTek COMPUTER INC,2025,630.0,21.95,12.39,1.0,1/1
LG ULTRAFINE,LG Electronics,2025,633.0,22.08,15.03,1.0,36/37
VX24G10,ViewSonic Corporation,2025,633.0,22.8,13.49,1.0,1/1
XV275K V,Acer Technologies,2025,630.0,22.07,14.28,1.0,3/3
M43Q6-J04,"VIZIO, Inc",2025,633.0,28.37,22.43,1.0,3/3
X41Q,HKC OVERSEAS LIMITED,2025,633.0,22.08,14.25,1.0,1/1
8C8GM-NE16NZ1,BOE,2025,633.0,22.44,12.63,1.0,1/1
NE160QDM-NZ3,BOE,2025,633.0,23.97,10.95,1.0,2/2
U27G40E,AOC,2025,630.0,24.68,11.07,1.0,2/2
Q27G42ZE,AOC,2025,633.0,29.66,10.16,1.0,1/1
MPG 274URF QD,Microstep,2025,630.0,24.82,28.54,1.0,2/3
27Q-11,Lenovo Group Limited,2025,633.0,26.89,11.07,1.0,2/2
NE160QDM-NZ5,BOE,2025,633.0,25.56,10.59,1.0,1/1
Asus ProArt PA32UCXR - HDR,ASUSTek COMPUTER INC,2025,630.0,25.85,23.9,1.0,1/1
TL134ADXP01-0,Thermotrex Corporation,2025,633.0,24.48,10.4,1.0,1/1
PA279CRV (1),ASUSTek COMPUTER INC,2025,630.0,23.09,13.83,1.0,1/1
PA243W,NEC Corporation,2025,630.0,24.57,8.53,1.0,4/4
NV160QDM-N40,BOE,2025,633.0,29.11,9.85,1.0,1/1
XG27ACMS,ASUSTek COMPUTER INC,2025,630.0,22.25,11.79,1.0,1/1
NE156QUM-NZ4,BOE,2025,630.0,18.43,10.88,1.0,1/1
XG27ACG,ASUSTek COMPUTER INC,2025,630.0,22.58,11.47,1.0,5/5
DELL U2723QE,"Dell, Inc.",2025,633.0,22.39,13.85,1.0,13/13
DELL U2722DX,"Dell, Inc.",2025,633.0,22.25,14.0,1.0,1/1
MacBook Pro 14 inch M1,Apple Computer Inc,2025,633.0,21.49,17.57,1.0,1/1
MSI MD272UPH,Microstep,2025,630.0,22.84,12.34,1.0,4/4
1PVM5-156WFC,LG Display,2025,630.0,27.41,9.75,1.0,2/2
DELL UP3216Q,"Dell, Inc.",2025,633.0,22.78,10.77,1.0,11/11
Odyssey G90XF,Samsung Electric Company,2025,630.0,32.59,7.86,1.0,3/3
DELL UP2716D,"Dell, Inc.",2025,633.0,26.04,4.5,1.0,6/11
NE160QDM-NZB,BOE,2025,633.0,27.29,10.79,1.0,1/1
NE156FHM-NX9,BOE,2025,633.0,29.36,9.71,1.0,1/1
PA279CRV,ASUSTek COMPUTER INC,2025,630.0,22.47,13.65,1.0,9/9
NE140QDM-NX7,BOE,2025,633.0,24.88,9.49,1.0,1/1
B160UAN01.Q,AU Optronics,2025,630.0,31.62,8.82,1.0,1/1
Internal Display,Lenovo,2025,633.0,24.98,10.27,1.0,1/1
LEN145-3K,Lenovo Group Limited,2025,633.0,22.37,10.91,1.0,1/1
27GL850,LG Electronics,2025,630.0,23.77,9.69,1.0,12/12
LGE SMART 32U830SAW,LG Display,2025,630.0,22.67,9.92,1.0,1/1
LP129WT2-SPA6,LG Display,2025,630.0,22.73,11.75,1.0,1/1
DELL P2725QE,"Dell, Inc.",2025,630.0,23.08,11.2,1.0,1/1
NE160QDM-NYC,BOE,2025,630.0,26.82,10.0,1.0,2/2
AOC 27G42E,Alpha Electronics Company,2025,630.0,23.91,9.02,1.0,1/1
24G11ZE,AOC,2025,630.0,23.09,11.19,1.0,1/1
MSI 322URDF E16,"Micro-Star Int'l Co., Ltd.",2025,630.0,23.23,9.43,1.0,1/1
Y2THV-NE15N69,BOE,2025,630.0,23.11,10.54,1.0,4/4
B160QAN04.U,AU Optronics,2025,633.0,23.69,12.37,1.0,2/2
VX2779-2KP-HD,ViewSonic Corporation,2025,630.0,19.4,11.69,1.0,2/2
SDMU27M90*30,Sony,2025,633.0,25.0,9.88,1.0,4/4
XG27ACMG,ASUSTek COMPUTER INC,2025,630.0,23.26,11.74,1.0,5/5
SNE007ZA2-1,California Institute of Technology,2025,629.0,8.68,20.13,1.0,1/1
TL160ADMP20-00,Thermotrex Corporation,2025,630.0,8.72,20.15,1.0,1/1
GS27QXA,"GIGA-BYTE TECHNOLOGY CO., LTD.",2025,630.0,23.52,11.35,1.0,4/4
27M1N3200ZA,Philips Consumer Electronics Company,2025,630.0,23.62,11.11,1.0,1/1
PHL 275S9J,Philips Consumer Electronics Company,2025,630.0,23.6,11.88,1.0,1/1
27M1C5500V,Philips Consumer Electronics Company,2025,630.0,26.24,10.55,1.0,1/1
TL140ADXP20-0,Thermotrex Corporation,2025,630.0,24.77,10.19,1.0,2/2
ASUS PA328CGV,ASUSTek COMPUTER INC,2025,633.0,24.3,10.99,1.0,2/2
PHL27E1N5600H,Philips Consumer Electronics Company,2025,630.0,19.19,12.12,1.0,1/1
NV156FHM-NY8,BOE,2025,633.0,22.89,11.71,1.0,7/7
MSI MAG322UPF,Microstep,2025,630.0,24.2,11.86,1.0,1/1
27G2T,2-Tel B.V,2025,633.0,23.87,13.73,1.0,1/1
DELL U2725QE,"Dell, Inc.",2025,630.0,28.05,6.51,1.0,6/6
MateView,"Huawei Technologies Co., Inc.",2025,630.0,22.78,12.72,1.0,8/8
27M1N5500ZA,Philips Consumer Electronics Company,2025,630.0,20.62,9.88,1.0,4/4
Q70X1,HKC OVERSEAS LIMITED,2025,630.0,20.88,10.31,1.0,1/1
DELL U2724DE,"Dell, Inc.",2025,633.0,23.82,12.11,1.0,7/7
XG349C,ASUSTek COMPUTER INC,2025,630.0,23.47,9.13,1.0,2/2
XV275K,Acer Technologies,2025,630.0,21.67,14.42,1.0,11/11
MSI G244F E2,Microstep,2025,630.0,22.42,13.0,1.0,2/2
LP160WQ1-SPB2,LG Display,2025,630.0,29.43,8.83,1.0,1/1
DELL G2725D,"Dell, Inc.",2025,630.0,27.42,9.97,1.0,1/1
HAIER TV,"Qingdao Haier Electronics Co., Ltd.",2025,630.0,24.65,13.08,1.0,3/5
F25G37F Pro,SKYDATA S.P.A.,2025,630.0,20.82,10.39,1.0,1/1
ProDisplayXDR,Apple Computer Inc,2025,633.0,22.76,15.48,1.0,2/2
5669,Chimei Innolux Corporation,2025,633.0,27.82,10.11,1.0,1/1
DELL U2722D,"Dell, Inc.",2025,633.0,22.85,13.26,1.0,6/6
BenQ SW240,BenQ Corporation,2025,632.0,12.22,21.01,1.0,7/7
N156KME-GNA,Chimei Innolux Corporation,2025,633.0,27.35,10.38,1.0,3/3
DELL U2724D,"Dell, Inc.",2025,633.0,25.01,10.97,1.0,2/2
24B2W1G5,AOC,2025,630.0,23.68,11.47,1.0,1/1
27G5K-Mini,"Hisense Electric Co., Ltd.",2025,630.0,24.93,20.31,1.0,1/1
LEN140WQ+,Lenovo Group Limited,2025,633.0,22.33,12.51,1.0,5/5
S27C900P,Samsung Electric Company,2025,630.0,27.31,10.5,1.0,7/7
"Built-in 5K Retina Display, iMac 27-inch 2019",Apple Computer Inc,2025,630.0,25.05,11.37,1.0,1/1
VG2781-5K,ViewSonic Corporation,2025,630.0,25.0,12.44,1.0,2/2
CG345UK,HKC OVERSEAS LIMITED,2025,633.0,23.46,12.57,1.0,1/1
M27QA,"GIGA-BYTE TECHNOLOGY CO., LTD.",2025,630.0,23.29,11.84,1.0,1/1
DELL D2721H,"Dell, Inc.",2025,630.0,32.36,7.79,1.0,1/1
S2716U,HKC OVERSEAS LIMITED,2025,630.0,23.08,12.83,1.0,1/1
NE140QDM-NX5,BOE,2025,633.0,29.69,10.05,1.0,2/2
B140QAN06.S,AU Optronics,2025,630.0,25.24,23.3,1.0,2/2
MSI PAG271P,Microstep,2025,630.0,24.01,10.49,1.0,1/1
BenQ SW321C,BenQ Corporation,2025,633.0,23.56,13.85,1.0,4/4
24T1W1G5,AOC,2025,630.0,22.4,13.55,1.0,1/1
StudioDisplay,Apple Computer Inc,2025,630.0,29.49,10.45,1.0,1/1
NE140QDM-NZA,BOE,2025,630.0,24.23,10.37,1.0,2/2
AG274QSAR6,AOC,2025,630.0,23.29,11.9,1.0,3/3
F27B50U Pro,SKYDATA S.P.A.,2025,630.0,26.61,10.61,1.0,1/1
R27qc-30,Lenovo Group Limited,2025,633.0,24.14,11.74,1.0,1/1
MSI MP273Q E2,Microstep,2025,630.0,27.56,10.23,1.0,1/1
