display,manufacturer,year,peak_nm,fwhm_nm,sharpness,confidence,vote_ratio
BARCO 1080p,"Barco, N.V.",2025,610.0,95.7,1.56,0.04,0/1
VP32AQ,ASUSTek COMPUTER INC,2025,637.0,91.83,1.57,0.49,0/1
31MU97,LG Display,2025,653.0,90.53,1.5,0.03,0/1
DELL U2713H,"Dell, Inc.",2025,647.0,88.35,1.56,0.22,0/15
Generic PnP Monitor,"Dell, Inc.",2025,653.0,88.04,1.52,0.03,0/1
DELL U2413,"Dell, Inc.",2025,650.0,86.81,1.6,0.13,0/10
M2750,Digatron Industrie Elektronik GmbH,2025,640.0,86.51,1.68,0.44,0/1
PA272W,NEC Corporation,2025,647.0,85.85,1.59,0.22,0/9
PA242W,NEC Corporation,2025,653.0,85.57,1.53,0.13,0/3
MSI MP242A,Microstep,2025,613.0,82.16,1.81,0.17,0/2
24M2N5500,Philips Consumer Electronics Company,2025,613.0,80.45,1.9,0.06,0/1
E2211,LG Electronics,2025,620.0,80.33,1.89,0.27,0/1
DELL P2715Q,"Dell, Inc.",2025,620.0,78.65,1.91,0.5,0/3
EA244WMi,NEC Corporation,2025,620.0,77.96,1.95,0.27,0/6
VP2785 SERIES,ViewSonic Corporation,2025,633.0,77.19,1.96,0.51,0/8
ILAFPJ--X10J4,JVC KENWOOD Corporation,2025,617.0,76.54,2.2,0.2,0/1
LG 55NANO90JPA,LG Display,2025,627.0,75.7,1.96,0.48,0/1
DELL P2720D,"Dell, Inc.",2025,620.0,75.48,2.03,0.37,0/2
EV2736W,Eizo Nanao Corporation,2025,623.0,75.44,1.97,0.41,0/9
DELL U2715H,"Dell, Inc.",2025,623.0,75.09,2.01,0.37,0/12
N140BGE-L22,Lenovo Group Limited,2025,610.0,75.01,2.04,0.07,0/1
DELL U2719D,"Dell, Inc.",2025,623.0,74.55,2.04,0.37,0/2
DELL S2316H,"Dell, Inc.",2025,617.0,73.57,2.11,0.19,0/2
24B1W,AOC,2025,610.0,73.12,2.04,0.26,0/2
N156HCA-EAC,Chimei Innolux Corporation,2025,610.0,72.96,2.28,0.09,0/1
ROG PG278QR,ASUSTek COMPUTER INC,2025,617.0,72.86,2.11,0.19,0/1
N160JCE-ELL,Chimei Innolux Corporation,2025,610.0,72.67,2.31,0.09,0/1
B140XTN03.1,Lenovo Group Limited,2025,610.0,72.4,2.18,0.08,0/1
N156HRA-EA1,Chimei Innolux Corporation,2025,610.0,72.29,2.32,0.09,0/10
HUAWEI AD80HW,"Huawei Technologies Co., Inc.",2025,613.0,71.74,2.09,0.07,0/2
N140JCA-ELK,Chimei Innolux Corporation,2025,610.0,71.68,2.33,0.09,0/2
P24FBA-RAGL,Xiaomi Inc.,2025,620.0,71.32,2.19,0.29,0/1
NE160WUM-NX6,BOE,2025,610.0,71.26,2.22,0.08,0/1
LS27B61x,Samsung Electric Company,2025,620.0,70.85,2.18,0.29,0/3
ASUS PA279,ASUSTek COMPUTER INC,2025,620.0,70.78,2.27,0.29,0/6
S27E390,Samsung Electric Company,2025,613.0,70.62,2.17,0.08,0/2
EA271Q,NEC Corporation,2025,620.0,69.94,2.22,0.36,0/2
S27R35x,Samsung Electric Company,2025,610.0,69.79,2.16,0.08,0/3
MX25AQ,Ancor Communications Inc,2025,617.0,69.68,2.24,0.2,0/1
DELL U3419W,"Dell, Inc.",2025,617.0,69.52,2.2,0.2,0/1
DELL U2417H,"Dell, Inc.",2025,620.0,69.45,2.23,0.37,0/7
"Monitor 1, Output DisplayPort-1",MSI GmbH,2025,617.0,69.2,2.24,0.2,0/1
DELL U2717D,"Dell, Inc.",2025,620.0,68.71,2.14,0.37,0/5
VX2771 Series,ViewSonic Corporation,2025,610.0,68.53,2.21,0.08,0/2
HP E242,Hewlett Packard Enterprise,2025,613.0,68.44,2.27,0.08,0/1
DELL U2718Q,"Dell, Inc.",2025,617.0,68.35,2.31,0.53,0/7
DELL U2721DE,"Dell, Inc.",2025,617.0,68.09,2.31,0.21,0/1
MNT,Sichuang Changhong Corporation,2025,610.0,67.93,2.2,0.08,0/2
ASUS VA27A,ASUSTek COMPUTER INC,2025,610.0,67.89,2.25,0.08,0/1
BenQ PD3200Q,BenQ Corporation,2025,610.0,67.75,2.26,0.08,0/2
RFCMD-NV15A19,BOE,2025,613.0,67.61,2.2,0.08,0/1
K272HUL,Acer Technologies,2025,613.0,67.47,2.25,0.08,0/1
DELL U2518D,"Dell, Inc.",2025,620.0,67.39,2.26,0.29,0/5
DELL S2721H,"Dell, Inc.",2025,610.0,67.35,2.27,0.08,0/2
XL2546X+,BenQ Corporation,2025,617.0,67.24,2.34,0.21,0/1
Dell U4919DW,"Dell, Inc.",2025,617.0,67.03,2.38,0.21,0/3
