display,manufacturer,year,screen_size,peak_nm,fwhm_nm,sharpness,vote_ratio
LQ100P1JX51,Sharp Corporation,2022,10.0,630.0,24.46,9.86,3/3
VKJCN-LQ123N1,Sharp Corporation,2021,12.3,633.0,23.95,11.13,1/1
LQ123Z1JX3X,Sharp Corporation,2019,12.3,630.0,29.67,9.74,2/2
LQ125D1JW33,Sharp Corporation,2017,12.5,630.0,17.99,9.09,1/1
LP129WT2-SPA6,LG Display,2025,12.9,630.0,22.73,11.75,1/1
LP129WT212166,LG Display,2024,12.9,633.0,23.39,11.42,5/5
B133UAN01.0,Lenovo Group Limited,2024,13.3,633.0,22.9,11.36,6/6
B133QAN02.0,AU Optronics,2022,13.3,630.0,18.42,9.78,1/1
N133HCE-EN2,Chimei Innolux Corporation,2022,13.3,633.0,25.45,10.38,1/1
TL134ADXP01-0,Thermotrex Corporation,2025,13.4,633.0,24.48,10.4,1/1
K8J0W-LQ134R1,Sharp Corporation,2021,13.4,632.0,12.36,16.05,1/1
NE140QDM-NX7,BOE,2025,14.0,633.0,24.88,9.49,1/1
TL140ADXP20-0,Thermotrex Corporation,2025,14.0,630.0,24.77,10.19,2/2
LEN140WQ+,Lenovo Group Limited,2025,14.0,633.0,22.33,12.51,5/5
NE140QDM-NX5,BOE,2025,14.0,633.0,29.69,10.05,2/2
B140QAN06.S,AU Optronics,2025,14.0,630.0,25.24,23.3,2/2
NE140QDM-NZA,BOE,2025,14.0,630.0,24.23,10.37,2/2
NV140WUM-N4D,BOE,2025,14.0,633.0,24.45,10.37,1/1
N140HCE-EN2,Chimei Innolux Corporation,2024,14.0,630.0,25.19,10.35,2/2
LEN140WQXGA+,Lenovo Group Limited,2024,14.0,633.0,25.8,10.71,1/1
LP140WF9-SPF1,Lenovo Group Limited,2024,14.0,630.0,22.98,10.49,4/4
NE140QDM-NY1,BOE,2024,14.0,633.0,27.9,9.74,2/2
TL140ADXP24-0,Tidewater Association,2023,14.0,633.0,25.44,10.02,1/1
TL140BDXP01-0,Thermotrex Corporation,2023,14.0,630.0,23.7,10.18,4/4
B140HAN06.8,AU Optronics,2023,14.0,632.0,9.91,20.34,4/4
LEN140WUXGA+,Lenovo Group Limited,2022,14.0,633.0,24.99,11.1,2/2
NV140FHM-N66,BOE,2020,14.0,633.0,25.23,10.94,1/1
NV140QUM-N53,Lenovo Group Limited,2019,14.0,630.0,27.08,10.83,4/4
TL142GDXP02-0,Thermotrex Corporation,2024,14.2,630.0,23.57,10.71,1/1
TL142GVXP12-0,Thermotrex Corporation,2024,14.2,633.0,29.15,9.9,1/1
B156ZAN04.2,Lenovo Group Limited,2025,15.6,633.0,22.47,13.19,2/2
N156HGA-EAL,Chimei Innolux Corporation,2025,15.6,633.0,22.41,12.78,3/3
7X71H-B156ZAN,AU Optronics,2025,15.6,633.0,22.59,12.43,2/2
NE156QUM-NZ4,BOE,2025,15.6,630.0,18.43,10.88,1/1
1PVM5-156WFC,LG Display,2025,15.6,630.0,27.41,9.75,2/2
NE156FHM-NX9,BOE,2025,15.6,633.0,29.36,9.71,1/1
NV156FHM-NY8,BOE,2025,15.6,633.0,22.89,11.71,7/7
N156KME-GNA,Chimei Innolux Corporation,2025,15.6,633.0,27.35,10.38,3/3
NE156QHM-NY2,BOE,2024,15.6,632.0,9.86,20.04,4/4
B156HAN15.K,AU Optronics,2024,15.6,633.0,27.78,9.77,1/1
B156ZAN03.2,Lenovo Group Limited,2024,15.6,633.0,24.68,12.42,3/3
NE156QHM-NZ3,BOE,2024,15.6,633.0,24.68,11.29,1/1
B156HAN12.H,AU Optronics,2024,15.6,633.0,24.53,10.77,1/1
LQ156M1JW26,Sharp Corporation,2024,15.6,633.0,30.32,9.71,1/1
NE156QHM-NY1,BOE,2024,15.6,633.0,27.2,10.95,1/1
LQ156D1JW42,Sharp Corporation,2024,15.6,633.0,25.39,11.23,6/7
TL156MDMP31-0,Thermotrex Corporation,2024,15.6,633.0,30.49,9.47,1/1
B156HAN12.0,AU Optronics,2024,15.6,633.0,28.11,10.18,4/4
7PHPT-LQ156D1,Sharp Corporation,2023,15.6,630.0,29.01,9.36,1/1
43N80-LQ156D1,Sharp Corporation,2023,15.6,633.0,29.85,9.36,1/1
NE156QUM-N6C,Lenovo Group Limited,2023,15.6,633.0,24.76,13.04,1/1
LQ156M1JW01,Sharp Corporation,2022,15.6,630.0,26.89,9.85,2/2
90T02-LQ156R1,Sharp Corporation,2022,15.6,630.0,18.47,9.29,1/1
LP156WFG-SPT2,LG Display,2022,15.6,630.0,25.43,9.37,2/2
HMH2Y-156QHG,LG Display,2022,15.6,630.0,29.71,10.14,1/1
LP156WFA-SPG2,LG Display,2021,15.6,633.0,23.15,10.99,2/2
FNVDR-LQ156D1,Sharp Corporation,2021,15.6,633.0,26.37,10.5,3/3
184X2-B156HAN,AU Optronics,2021,15.6,630.0,21.08,10.14,1/1
TY90V-156WFG,LG Display,2021,15.6,630.0,24.92,10.52,1/1
N5V8C-LQ156D1,Sharp Corporation,2021,15.6,632.0,12.33,15.61,4/4
B156ZAN04.1,AU Optronics,2021,15.6,633.0,23.32,12.67,1/1
LQ156M1JW09,Sharp Corporation,2021,15.6,630.0,29.99,8.97,1/1
B156HAN10.1,AU Optronics,2021,15.6,633.0,22.53,13.85,2/2
NE156QUM-N67,BOE,2020,15.6,630.0,29.67,9.53,1/1
Y2XND-LQ156D1,Sharp Corporation,2020,15.6,633.0,29.94,9.64,10/10
B156ZAN03.1,AU Optronics,2018,15.6,630.0,22.37,12.74,2/2
N156HGE-EAL,Chimei Innolux Corporation,2018,15.6,633.0,22.35,12.51,1/1
NV156FHM-N42,Lenovo Group Limited,2016,15.6,630.0,22.28,3.84,1/1
NE160QDM-NZL,BOE,2025,16.0,630.0,23.78,10.47,1/1
NE160QDM-NY1,BOE,2025,16.0,630.0,23.07,11.26,5/5
NE160QDM-NZ3,BOE,2025,16.0,633.0,23.97,10.95,2/2
NE160QDM-NZ5,BOE,2025,16.0,633.0,25.56,10.59,1/1
NV160QDM-N40,BOE,2025,16.0,633.0,29.11,9.85,1/1
NE160QDM-NZB,BOE,2025,16.0,633.0,27.29,10.79,1/1
B160UAN01.Q,AU Optronics,2025,16.0,630.0,31.62,8.82,1/1
NE160QDM-NYC,BOE,2025,16.0,630.0,26.82,10.0,2/2
B160QAN04.U,AU Optronics,2025,16.0,633.0,23.69,12.37,2/2
TL160ADMP20-00,Thermotrex Corporation,2025,16.0,630.0,8.72,20.15,1/1
LP160WQ1-SPB2,LG Display,2025,16.0,630.0,29.43,8.83,1/1
NE160WUM-NX2,BOE,2024,16.0,630.0,26.46,9.57,1/1
NV160WUM-NY2,BOE,2024,16.0,633.0,29.57,9.25,1/1
B160QAN02.M,Lenovo Group Limited,2024,16.0,631.0,9.06,24.45,3/3
B160QAN02.W,Lenovo Group Limited,2024,16.0,633.0,26.6,10.42,1/1
NE160QDM-NY3,BOE,2024,16.0,633.0,22.87,12.48,5/5
NV160WUM-NH3,BOE,2024,16.0,633.0,28.31,10.06,1/1
NE160QDM-NY2,BOE,2024,16.0,633.0,26.33,10.67,1/1
B160QAN02.H,AU Optronics,2024,16.0,633.0,27.76,10.33,1/1
B160QAN03.H,AU Optronics,2024,16.0,633.0,29.76,9.98,1/1
NE160QAM-NX1,BOE,2024,16.0,633.0,31.19,9.38,1/1
NV160WUM-NH0,BOE,2024,16.0,633.0,29.58,9.91,1/1
B160QAN02.L,AU Optronics,2023,16.0,633.0,23.54,11.04,3/3
ASM-160QCC,ASEM S.p.A.,2022,16.0,630.0,19.58,9.76,1/1
LEN160WQXGA,Lenovo Group Limited,2022,16.0,633.0,26.87,10.29,1/1
B160QAN02.Q,AU Optronics,2021,16.0,633.0,23.22,11.71,2/2
N161HCA-GA1,Chimei Innolux Corporation,2022,16.1,633.0,24.75,10.48,1/1
N161HCA-EA3,Chimei Innolux Corporation,2021,16.1,633.0,25.44,10.51,2/2
7JXK8-LQ170R1,Sharp Corporation,2024,17.0,633.0,24.77,10.93,8/8
T3MW9-LQ170R1,Sharp Corporation,2024,17.0,630.0,23.62,11.48,1/1
